id,公司名稱,分公司名稱,地址,分公司核准設立日期,登記現況,設立年份,縣市,行政區,里別,行政區平日夜間停留人數,行政區平日日間活動人數,行政區假日夜間停留人數,行政區假日日間活動人數,里人均收入中位數,里人口數,發票張數指標,發票銷售額指標,店_緯度,店_經度,500m熱鬧據點數,最近熱鬧據點類型,最近熱鬧據點距離,500m歷史展店,500m歷史競爭,租金,巷內,弄,最近鄰店距離,最近路口距離,鄰近道路等級,是否便利商店,日夜人流差,日夜人流活躍比,租金log,歷史品牌優勢,區域競爭飽和度,租金與競爭風險,路口與巷弄權重,黃金三角窗,巷弄店,社區轉角店,店均服務人口數,店均電信人流,人流單位租金成本,同品牌互蝕風險
20,全家便利商店股份有限公司,八里華城分公司,新北市八里區中華路2段306號,2011-07-29,營運中,2011,新北市,八里區,舊城里,47692,45981,47577,46026,402,7429,64.0,74.5,25.14856521,121.4039286,1.0,學校,116.57630470724808,2.0,7.0,14937.0,0,0,57.659158072056,193.03167364021274,5,1,-1711,0.9641037468810937,9.611663580917012,0.25,0.0009421265141318977,104559.0,2.6340107059617592,0,0,0,742.9,4598.1,0.3248445043712757,247.63333333333333
26,萊爾富國際股份有限公司,北縣商港分公司,新北市八里區訊塘村商港路46號,2002-12-27,營運中,2002,新北市,八里區,訊塘里,47692,45981,47577,46026,470,6670,67.5,57.5,25.14521186,121.3963054,0.0,學校,760.7233088221996,1.0,11.0,18130.0,0,0,116.46649665764265,19.633784355173912,5,1,-1711,0.9641037468810937,9.805378459425809,0.08333333333333333,0.0016489281966721632,199430.0,1.513464874838633,0,0,0,513.0769230769231,3537.0,0.3942847201078683,256.53846153846155
41,全家便利商店股份有限公司,新北市第八六一分公司,新北市八里區龍米路1段222號,2016-03-30,營運中,2016,新北市,八里區,龍源里,47692,45981,47577,46026,461,8055,59.0,68.5,25.12852652,121.4519699,0.0,學校,652.0153388603529,0.0,5.0,17264.0,0,0,276.7030228742209,242.31659376197533,5,1,-1711,0.9641037468810937,9.756436609824092,0.0,0.0006206554121151937,86320.0,2.7471817251744954,0,0,0,1342.5,7663.5,0.37545126353790614,1342.5
57,統一超商股份有限公司,新北市第一０四二分公司,新北市三芝區中正路1段61號,2012-12-06,營運中,2012,新北市,三芝區,埔坪里,22144,19438,21623,20667,340,7195,9.5,4.5,25.25785331,121.5034454,2.0,學校,178.708207483793,1.0,7.0,8500.0,0,0,46.10195353082829,44.8367069259735,4,1,-2706,0.8777602167532175,9.04793908261736,0.125,0.0009727626459143969,59500.0,1.9125426156936782,0,0,0,799.4444444444445,2159.777777777778,0.43726529142445597,399.72222222222223
58,統一超商股份有限公司,台北縣第３８０分公司,新北市三芝區中興街1段2號,1999-03-15,營運中,1999,新北市,三芝區,埔頭里,22144,19438,21623,20667,360,5454,14.0,4.5,25.25959539,121.4976656,2.0,學校,422.1371044871843,0.0,5.0,10358.0,0,0,366.20430153672993,16.779704596440563,3,1,-2706,0.8777602167532175,9.245610986058102,0.0,0.0009165902841429881,51790.0,1.4390288077871582,0,0,0,909.0,3239.6666666666665,0.5328463398322959,909.0
68,統一超商股份有限公司,台北縣第２００分公司,新北市三重區力行路1段257號,1995-08-01,廢止,1995,新北市,三重區,永煇里,425020,346194,423029,390770,428,2372,39.0,46.5,25.07104205,121.4825792,2.0,學校,162.01754759973278,12.0,22.0,18453.0,0,0,98.02317927470644,12.551930384167301,3,1,-78826,0.8145338700911249,9.8230364281385,0.5217391304347826,0.009270965023177412,405966.0,1.3032645004774472,0,0,0,67.77142857142857,9891.257142857143,0.05330232961192392,5.213186813186813
69,全家便利商店股份有限公司,三重力行分公司,新北市三重區力行路1段40號,1998-04-20,營運中,1998,新北市,三重區,六福里,425020,346194,423029,390770,459,5693,88.0,84.0,25.0679875,121.486204,3.0,學校,251.28930854511003,9.0,24.0,20730.0,0,0,66.12081348490909,17.706494028310733,3,1,-78826,0.8145338700911249,9.939385443533112,0.36,0.004214963119072708,497520.0,1.464435368908007,0,0,0,167.44117647058823,10182.176470588236,0.05987954765377894,16.74411764705882
80,全家便利商店股份有限公司,三重新福田分公司,新北市三重區三民街270號,2013-04-02,營運中,2013,新北市,三重區,福田里,425020,346194,423029,390770,424,3259,57.0,68.0,25.06810522,121.4790286,4.0,學校,278.37901678987765,6.0,22.0,21682.0,0,0,0.0,21.12140955686727,2,1,-78826,0.8145338700911249,9.984283822364217,0.2608695652173913,0.006748466257668712,477004.0,1.5482729489047897,0,0,0,112.37931034482759,11937.724137931034,0.06262944294400555,16.054187192118228
89,統一超商股份有限公司,台北縣第十分公司,新北市三重區三和路2段6號,1988-03-31,廢止,1988,新北市,三重區,長生里,425020,346194,423029,390770,381,849,20.5,22.5,25.06660867,121.5013571,2.0,捷運站,400.7450867754345,20.0,31.0,18860.0,0,0,16.652369303387047,49.53196382298947,4,1,-78826,0.8145338700911249,9.844851577051172,0.625,0.036470588235294116,584660.0,1.9613030415223713,0,0,0,16.326923076923077,6657.576923076923,0.05447796761940525,0.7774725274725275
101,台灣屈臣氏個人用品商店股份有限公司,三和分公司,新北市三重區三和路4段155巷2號,2000-07-04,營運中,2000,新北市,三重區,福樂里,425020,346194,423029,390770,450,3752,28.0,26.5,25.07855067,121.4841419,6.0,捷運站,354.17530590136926,1.0,45.0,18770.0,1,0,46.8468803714494,43.220086327879365,2,0,-78826,0.8145338700911249,9.840068404666473,0.021739130434782608,0.011990407673860911,844650.0,5.683768691495208,0,0,0,79.82978723404256,7365.829787234043,0.05421799852684181,39.91489361702128
142,全家便利商店股份有限公司,新北市第九一五分公司,新北市三重區大勇街1號,2017-12-25,營運中,2017,新北市,三重區,永煇里,425020,346194,423029,390770,428,2372,39.0,46.5,25.07138788,121.4837499,2.0,學校,274.8307592708288,7.0,27.0,18453.0,0,0,18.043320481296597,16.41160516464228,3,1,-78826,0.8145338700911249,9.8230364281385,0.25,0.011378002528445006,498231.0,1.4285684736921873,0,0,0,67.77142857142857,9891.257142857143,0.05330232961192392,8.471428571428572
144,統一超商股份有限公司,新北市第九六七分公司,新北市三重區大智街139號,2013-06-04,營運中,2013,新北市,三重區,尚德里,425020,346194,423029,390770,429,3004,65.5,75.5,25.07098004,121.4907822,3.0,學校,224.53741167605796,12.0,24.0,19613.0,0,0,163.3157758301455,11.839915386334114,2,1,-78826,0.8145338700911249,9.883998875952265,0.48,0.007986688851913478,470712.0,1.276279354195367,0,0,1,81.1891891891892,9356.594594594595,0.05665304236051936,6.245322245322246
152,萊爾富國際股份有限公司,第五三七七分公司,新北市三重區大智街97號,2025-08-20,營運中,2025,新北市,三重區,福安里,425020,346194,423029,390770,482,3045,38.5,32.0,25.06920792,121.4918777,2.0,學校,423.0708235709337,10.0,35.0,19755.0,0,0,77.88249220177111,54.50903588524068,2,1,-78826,0.8145338700911249,9.891212521660515,0.2777777777777778,0.01149047931713723,691425.0,2.0082729081217794,0,0,0,66.19565217391305,7525.95652173913,0.05706321581767501,6.017786561264822
154,全家便利商店股份有限公司,三重中山分公司,新北市三重區中山路119號,1997-08-21,廢止,1997,新北市,三重區,過田里,425020,346194,423029,390770,479,9803,71.0,83.0,25.061639,121.483709,0.0,學校,574.7913964211511,12.0,27.0,21587.0,0,0,28.52531685854857,24.169589380435564,5,1,-78826,0.8145338700911249,9.979892883738533,0.42857142857142855,0.0027539779681762548,582849.0,1.612818247582872,0,0,0,245.075,8654.85,0.06235503112407747,18.851923076923075
155,萊爾富國際股份有限公司,北縣重玉分公司,新北市三重區中央北路132號,2002-04-23,營運中,2002,新北市,三重區,長安里,425020,346194,423029,390770,436,2030,19.5,22.5,25.06792657,121.4997498,4.0,學校,289.7839410611972,13.0,41.0,19270.0,0,0,17.249602883240843,11.942499285501613,2,1,-78826,0.8145338700911249,9.86635665419792,0.30952380952380953,0.02018709995076317,790070.0,1.2802582072941624,0,0,1,36.90909090909091,6294.436363636363,0.05566227126330536,2.6363636363636362
157,萊爾富國際股份有限公司,第２９３５分公司,新北市三重區中央北路2號,2004-10-27,營運中,2004,新北市,三重區,錦通里,425020,346194,423029,390770,356,1400,54.5,63.5,25.06363768,121.5010599,1.0,捷運站,79.37340595524134,11.0,35.0,20192.0,0,0,79.50763231521698,25.169018207253348,2,1,-78826,0.8145338700911249,9.913091288678823,0.3055555555555556,0.024982155603140613,706720.0,1.6322880999377531,0,0,0,29.78723404255319,7365.829787234043,0.058325510189344155,2.482269503546099
171,統一超商股份有限公司,新北市第九八０分公司,新北市三重區中正北路18-2號,2013-11-07,營運中,2013,新北市,三重區,錦田里,425020,346194,423029,390770,516,2145,44.0,46.0,25.06327663,121.4884353,2.0,學校,65.10237737010401,12.0,25.0,23808.0,0,0,9.241464070022925,22.071365950927145,2,1,-78826,0.8145338700911249,10.077818939438902,0.46153846153846156,0.011649580615097856,595200.0,1.569296139701207,0,0,0,56.44736842105263,9110.368421052632,0.06877049061944858,4.342105263157895
202,統一生活事業股份有限公司,新北市第一四四分公司,新北市三重區中華路107號,2025-02-14,營運中,2025,新北市,三重區,田安里,425020,346194,423029,390770,479,6224,58.0,59.0,25.06339708,121.4836316,2.0,學校,387.892216912031,0.0,35.0,23835.0,0,0,15.195504857854127,131.74089899239775,2,0,-78826,0.8145338700911249,10.07895232186687,0.0,0.005622489959839358,834225.0,2.4441995501379066,0,0,0,172.88888888888889,9616.5,0.0688484813472176,172.88888888888889
205,萊爾富國際股份有限公司,北縣重鈴分公司,新北市三重區中華路18號,2002-01-17,營運中,2002,新北市,三重區,光陽里,425020,346194,423029,390770,527,6223,73.5,86.5,25.06076609,121.4833537,0.0,捷運站,568.9432406087304,9.0,29.0,23113.0,0,0,35.355730868378295,18.679358729437798,2,1,-78826,0.8145338700911249,10.048193773535386,0.3,0.004659383033419023,670277.0,1.4897851531034587,0,0,0,159.56410256410257,8876.76923076923,0.06676295151576424,15.956410256410257
207,萊爾富國際股份有限公司,北縣中華第三分公司,新北市三重區中華路28號,2000-10-03,廢止,2000,新北市,三重區,光陽里,425020,346194,423029,390770,527,6223,73.5,86.5,25.06108373,121.483368,0.0,捷運站,603.6631131338817,10.0,28.0,23113.0,0,0,0.0,29.195620566005815,2,1,-78826,0.8145338700911249,10.048193773535386,0.3448275862068966,0.004498714652956298,647164.0,1.7038484497472774,0,0,0,159.56410256410257,8876.76923076923,0.06676295151576424,14.505827505827506
216,萊爾富國際股份有限公司,三重初戀分公司,新北市三重區中興北街153號,1998-10-03,營運中,1998,新北市,三重區,中興里,425020,346194,423029,390770,511,4472,95.0,93.0,25.05316024,121.4691439,1.0,學校,329.8803203437209,6.0,13.0,97642.0,0,0,179.20199196469662,67.9498789662538,2,1,-78826,0.8145338700911249,11.489073249147548,0.42857142857142855,0.002906326849988822,1269346.0,2.1166899244267445,0,0,0,223.6,17309.7,0.28204335706754863,31.942857142857143
218,統一超商股份有限公司,台北縣第五七二分公司,新北市三重區中興北街177號,2002-08-29,營運中,2002,新北市,三重區,頂崁里,425020,346194,423029,390770,497,2762,79.0,76.0,25.05610264,121.4690931,1.0,學校,466.4270256820877,5.0,9.0,100781.0,0,0,0.0,20.98846123288966,2,1,-78826,0.8145338700911249,11.520715047245059,0.5,0.003257328990228013,907029.0,1.545258913175762,0,0,0,184.13333333333333,23079.6,0.29111050130706684,30.688888888888886
220,統一超商股份有限公司,台北縣第五八九分公司,新北市三重區中興北街42巷11號,2002-12-30,營運中,2002,新北市,三重區,中興里,425020,346194,423029,390770,511,4472,95.0,93.0,25.0493631,121.4690902,2.0,醫院,324.23463231646195,8.0,15.0,97642.0,1,0,57.16466460245706,18.890694237423876,3,1,-78826,0.8145338700911249,11.489073249147548,0.5,0.00335345405767941,1464630.0,4.485377994148624,0,0,0,186.33333333333334,14424.75,0.28204335706754863,20.703703703703706
223,全家便利商店股份有限公司,新北市第一一○五分公司,新北市三重區五谷王北街169號,2023-07-12,營運中,2023,新北市,三重區,谷王里,425020,346194,423029,390770,805,2392,43.5,47.0,25.05301714,121.4763974,1.0,學校,332.8296127668418,0.0,3.0,31085.0,0,0,107.55065058997512,134.36274776360705,3,1,-78826,0.8145338700911249,10.344512836042844,0.0,0.0012536564981195152,93255.0,2.4539790976619575,0,0,0,598.0,86548.5,0.08979043602593914,598.0
242,萊爾富國際股份有限公司,第三八一一分公司,新北市三重區仁安街2號,2011-01-11,營運中,2011,新北市,三重區,碧華里,425020,346194,423029,390770,716,9505,97.5,95.5,25.08421643,121.4853413,1.0,學校,447.7959173089092,6.0,28.0,21010.0,0,0,106.48635793699644,17.974580859211844,2,1,-78826,0.8145338700911249,9.95280138908905,0.20689655172413793,0.0029455081001472753,588280.0,1.4715501169658154,0,0,0,271.57142857142856,9891.257142857143,0.06068834038619853,38.795918367346935
244,統一超商股份有限公司,新北市第一五一二分公司,新北市三重區仁美街100號,2024-03-29,營運中,2024,新北市,三重區,慈愛里,425020,346194,423029,390770,391,3435,68.5,71.0,25.08052245,121.4856742,1.0,捷運站,465.613523788018,12.0,35.0,20073.0,0,0,12.125702947939654,128.64482445180917,2,1,-78826,0.8145338700911249,9.907180724373745,0.3333333333333333,0.01018626309662398,702555.0,2.4323992959017238,0,0,0,71.5625,7212.375,0.05798177327806583,5.5048076923076925
248,統一超商股份有限公司,新北市第九六五分公司,新北市三重區仁華街80巷27號,2013-05-15,營運中,2013,新北市,三重區,碧華里,425020,346194,423029,390770,716,9505,97.5,95.5,25.08396998,121.4844159,0.0,學校,544.8938433620597,10.0,22.0,21010.0,1,0,106.48635793699644,87.13977955255542,2,1,-78826,0.8145338700911249,9.95280138908905,0.43478260869565216,0.0023143277929728594,462220.0,6.718385937457721,0,0,0,288.030303030303,10490.727272727272,0.06068834038619853,26.184573002754817
250,全聯實業股份有限公司,三重仁愛分公司,新北市三重區仁愛街278號,2008-10-29,營運中,2008,新北市,三重區,溪美里,425020,346194,423029,390770,496,9056,92.5,94.5,25.07888234,121.4925384,0.0,捷運站,638.0734759577966,0.0,24.0,22362.0,0,0,34.39910487618697,38.11016582562731,2,0,-78826,0.8145338700911249,10.015163086426718,0.0,0.002649884067572044,536688.0,1.8331912143693387,0,0,0,362.24,13847.76,0.06459365386559598,362.24
255,統一生活事業股份有限公司,臺北縣第八十一分公司,新北市三重區仁愛街39號,2010-12-01,營運中,2010,新北市,三重區,秀江里,425020,346194,423029,390770,452,1228,40.5,20.5,25.0715793,121.4967092,4.0,捷運站,148.16209030461218,0.0,42.0,20750.0,0,0,43.43242635426669,14.207132371495863,2,0,-78826,0.8145338700911249,9.940349717268694,0.0,0.03417412530512612,871500.0,1.3608822763813817,0,0,0,28.558139534883722,8051.023255813953,0.05993731856323748,28.558139534883722
272,統一超商股份有限公司,新北市第一四０三分公司,新北市三重區仁義街180號,2021-05-12,營運中,2021,新北市,三重區,五順里,425020,346194,423029,390770,417,3873,58.0,66.5,25.08151435,121.4967655,0.0,學校,695.190488767962,7.0,14.0,23900.0,0,0,19.186687815443335,20.557700451556848,3,1,-78826,0.8145338700911249,10.081675578048475,0.4666666666666667,0.0036138358286009293,334600.0,1.5353665411306812,0,0,0,176.04545454545453,15736.09090909091,0.06903623680295787,22.005681818181817
273,三商家購股份有限公司,三重仁義分公司,新北市三重區仁義街205號,2015-01-27,營運中,2015,新北市,三重區,五順里,425020,346194,423029,390770,417,3873,58.0,66.5,25.0816178,121.4969036,0.0,學校,692.9945929148857,1.0,20.0,23900.0,0,0,19.186687815443335,25.429893907339892,3,0,-78826,0.8145338700911249,10.081675578048475,0.047619047619047616,0.005162622612287042,478000.0,1.6372478572541254,0,0,0,176.04545454545453,15736.09090909091,0.06903623680295787,88.02272727272727
282,全家便利商店股份有限公司,三重通華分公司,新北市三重區仁義街317號,2010-10-18,營運中,2010,新北市,三重區,五華里,425020,346194,423029,390770,538,5236,71.0,80.5,25.08432637,121.4954083,1.0,學校,360.818236256166,6.0,20.0,16637.0,0,0,72.20304091028359,29.56332828260928,3,1,-78826,0.8145338700911249,9.719444514843833,0.2857142857142857,0.003818980332251289,332740.0,1.7099004340696635,0,0,0,193.92592592592592,12822.0,0.04805673103308829,27.703703703703702
289,統一超商股份有限公司,新北市第一一八四分公司,新北市三重區六張街255巷15號,2019-05-17,營運中,2019,新北市,三重區,六合里,425020,346194,423029,390770,434,3710,60.5,73.0,25.06876678,121.4872012,3.0,學校,358.42311875096385,12.0,24.0,21506.0,1,0,105.14363592392056,21.46668188404322,2,1,-78826,0.8145338700911249,9.976133742520982,0.48,0.0064672594987873885,516144.0,4.668050109871834,0,0,0,100.27027027027027,9356.594594594595,0.06212105894077038,7.713097713097714
299,萊爾富國際股份有限公司,文北分公司,新北市三重區文化北路59號,1996-01-11,廢止,1996,新北市,三重區,錦安里,425020,346194,423029,390770,460,1843,34.5,45.0,25.0661316,121.4987248,5.0,學校,334.14386046059934,18.0,53.0,18532.0,0,0,0.0,44.60666184018337,2,1,-78826,0.8145338700911249,9.82730820579731,0.3333333333333333,0.028741865509761388,982196.0,1.9100268994181384,0,0,0,25.59722222222222,4808.25,0.053530524704285154,1.347222222222222
318,統一超商股份有限公司,臺北縣第１５６分公司,新北市三重區正義北路51號,1993-08-26,營運中,1993,新北市,三重區,文化里,425020,346194,423029,390770,419,2094,65.0,29.0,25.06417661,121.4974496,2.0,學校,181.73503193036,22.0,39.0,19913.0,0,0,92.38100128783285,16.79020189256035,2,1,-78826,0.8145338700911249,9.89917828094803,0.55,0.018615751789976133,776607.0,1.4393239251338341,0,0,0,33.774193548387096,5583.774193548387,0.05751960600239749,1.4684431977559607
320,統一超商股份有限公司,新北市第一一六０分公司,新北市三重區正義南路133號,2018-08-08,營運中,2018,新北市,三重區,仁義里,425020,346194,423029,390770,472,1493,36.5,46.5,25.0578542,121.4987297,2.0,學校,155.19107213252855,5.0,20.0,21180.0,0,0,242.28093320498868,51.78196268981863,3,1,-78826,0.8145338700911249,9.960859832393998,0.23809523809523808,0.013386880856760375,423600.0,1.9830847583125701,0,0,0,57.42307692307692,13315.153846153846,0.06117939311659614,9.57051282051282
342,萊爾富國際股份有限公司,第三九五七分公司,新北市三重區永福街97號,2011-11-17,營運中,2011,新北市,三重區,永清里,425020,346194,423029,390770,430,5248,60.0,70.0,25.07752765,121.47943,4.0,學校,58.513283237608064,9.0,28.0,21992.0,0,0,13.275570812771845,74.96981884113389,2,1,-78826,0.8145338700911249,9.998479499891696,0.3103448275862069,0.005334349399885693,615776.0,2.1651680704508514,0,0,0,138.10526315789474,9110.368421052632,0.06352489204061294,13.810526315789474
343,統一超商股份有限公司,新北市第一０五七分公司,新北市三重區光復路1段25號,2016-03-08,營運中,2016,新北市,三重區,五谷里,425020,346194,423029,390770,534,2128,78.0,69.0,25.04764573,121.472191,3.0,捷運站,157.16616850380413,7.0,8.0,61481.0,0,0,201.600468584173,129.39582316861996,3,1,-78826,0.8145338700911249,11.026499728027773,0.7777777777777778,0.0037576326914044154,491848.0,2.4352873090320304,0,0,0,133.0,21637.125,0.1775906642210315,16.625
359,全聯實業股份有限公司,三重成功分公司,新北市三重區成功路110號,2024-12-03,營運中,2024,新北市,三重區,福德里,425020,346194,423029,390770,511,4439,49.5,60.0,25.05159045,121.4870946,0.0,學校,541.7397454082958,1.0,27.0,18455.0,0,0,20.67656538203629,26.765391118967283,2,0,-78826,0.8145338700911249,9.823144799853589,0.03571428571428571,0.006081081081081081,498285.0,1.661895160678543,0,0,0,153.06896551724137,11937.724137931034,0.05330810670286977,76.53448275862068
367,萊爾富國際股份有限公司,北縣重強分公司,新北市三重區自強路1段164及166號,2001-09-12,營運中,2001,新北市,三重區,正義里,425020,346194,423029,390770,470,1761,16.0,14.5,25.06628223,121.4954249,2.0,學校,171.77562427763002,19.0,41.0,21719.0,0,0,132.87829106493072,28.12831782585477,3,1,-78826,0.8145338700911249,9.985988774047872,0.4523809523809524,0.023269012485811577,890479.0,1.685855411082694,0,0,0,28.868852459016395,5675.311475409836,0.06273631912650385,1.4434426229508197
370,統一超商股份有限公司,新北市第一二六一分公司,新北市三重區自強路2段20號,2025-08-22,營運中,2025,新北市,三重區,六合里,425020,346194,423029,390770,434,3710,60.5,73.0,25.06903787,121.4897514,2.0,學校,313.68564368078427,11.0,28.0,21506.0,0,0,22.979273650716603,27.050856870899825,2,1,-78826,0.8145338700911249,9.976133742520982,0.3793103448275862,0.00754513608191862,602168.0,1.6670095897421469,0,0,0,92.75,8654.85,0.06212105894077038,7.729166666666667
371,全家便利商店股份有限公司,三重欣田分公司,新北市三重區自強路2段24號,2008-05-09,營運中,2008,新北市,三重區,六合里,425020,346194,423029,390770,434,3710,60.5,73.0,25.06915905,121.489584,2.0,學校,295.5107970889068,14.0,27.0,21506.0,0,0,22.979273650716603,48.45492491088804,3,1,-78826,0.8145338700911249,9.976133742520982,0.5,0.007275666936135812,580662.0,1.9505308234292964,0,0,0,88.33333333333333,8242.714285714286,0.06212105894077038,5.888888888888888
386,統一超商股份有限公司,台北縣第三十六分公司,新北市三重區忠孝路1段101號,1989-02-21,廢止,1989,新北市,三重區,培德里,425020,346194,423029,390770,511,3671,46.0,57.0,25.07221475,121.4893437,4.0,學校,87.37479253934447,13.0,19.0,22024.0,0,0,58.38169115302507,21.35078704165742,2,1,-78826,0.8145338700911249,9.999933450804381,0.65,0.0051742919389978215,418456.0,1.5534307674156982,0,0,0,111.24242424242425,10490.727272727272,0.06361732549574661,7.945887445887446
396,萊爾富國際股份有限公司,第三六七六分公司,新北市三重區忠孝路3段50巷98號,2008-12-22,營運中,2008,新北市,三重區,田心里,425020,346194,423029,390770,433,3970,60.0,71.0,25.06421043,121.4834625,3.0,學校,300.9216462855016,7.0,25.0,20592.0,1,0,23.99022272952209,52.91102106863674,2,1,-78826,0.8145338700911249,9.932706491205348,0.2692307692307692,0.006295643414756988,514800.0,5.98100239429462,0,0,0,120.3030303030303,10490.727272727272,0.059480928378515,15.037878787878787
417,全家便利商店股份有限公司,三重福新分公司,新北市三重區重陽路1段49號,1998-08-24,廢止,1998,新北市,三重區,過田里,425020,346194,423029,390770,479,9803,71.0,83.0,25.05826971,121.4868581,3.0,學校,275.6662358921204,15.0,27.0,21587.0,0,0,73.19982544636258,63.77848697911462,4,1,-78826,0.8145338700911249,9.979892883738533,0.5357142857142857,0.0027539779681762548,582849.0,2.085486778586975,0,0,0,227.97674418604652,8051.023255813953,0.06235503112407747,14.248546511627907
419,全家便利商店股份有限公司,新北市第九五八分公司,新北市三重區重陽路2段30號,2019-01-07,營運中,2019,新北市,三重區,三民里,425020,346194,423029,390770,529,3439,72.5,75.5,25.06287123,121.4868489,2.0,學校,230.86049622796895,10.0,32.0,26050.0,0,0,29.381381952301552,17.4769155174072,4,1,-78826,0.8145338700911249,10.167811434160654,0.30303030303030304,0.009302325581395349,833600.0,1.458261071525715,0,0,0,79.97674418604652,8051.023255813953,0.07524660956975116,7.2706131078224105
455,統一生活事業股份有限公司,台北縣第１分公司,新北市三重區重新路5段609巷10之5號,1998-11-26,營運中,1998,新北市,三重區,中興里,425020,346194,423029,390770,511,4472,95.0,93.0,25.04618175,121.4680631,4.0,醫院,168.6537316911351,0.0,18.0,97642.0,1,0,57.997317443010246,55.412011427707775,2,0,-78826,0.8145338700911249,11.489073249147548,0.0,0.004024144869215292,1757556.0,6.0490231566087065,0,0,0,235.3684210526316,18220.736842105263,0.28204335706754863,235.3684210526316
456,全聯實業股份有限公司,三重湯城分公司,新北市三重區重新路5段609巷10號,2024-05-15,營運中,2024,新北市,三重區,中興里,425020,346194,423029,390770,511,4472,95.0,93.0,25.04590088,121.4685026,4.0,醫院,137.7985420932552,1.0,17.0,97642.0,1,0,0.0,22.35549452722405,2,0,-78826,0.8145338700911249,11.489073249147548,0.05555555555555555,0.0038005812653699976,1659914.0,4.726248402137816,0,0,0,235.3684210526316,18220.736842105263,0.28204335706754863,117.6842105263158
486,統一超商股份有限公司,新北市第一二七六分公司,新北市三重區集美街223號,2019-10-17,營運中,2019,新北市,三重區,光明里,425020,346194,423029,390770,533,7503,95.0,96.5,25.05495023,121.4920024,4.0,學校,63.84373452352512,9.0,29.0,24298.0,0,0,50.73634612416317,35.13511179541012,3,1,-78826,0.8145338700911249,10.098190476218488,0.3,0.003864605543710021,704642.0,1.7936325092781846,0,0,0,192.3846153846154,8876.76923076923,0.07018587790118286,19.23846153846154
491,統一超商股份有限公司,台北縣第六九二分公司,新北市三重區新北大道2段258號,2005-08-16,營運中,2005,新北市,三重區,頂崁里,425020,346194,423029,390770,497,2762,79.0,76.0,25.06168509,121.4664549,0.0,學校,649.6886406100691,2.0,6.0,100781.0,0,0,189.99110469498964,13.904327894024847,5,1,-78826,0.8145338700911249,11.520715047245059,0.2857142857142857,0.002171552660152009,604686.0,1.3508258167307627,0,0,0,306.8888888888889,38466.0,0.29111050130706684,102.2962962962963
492,三商家購股份有限公司,三重新興分公司,新北市三重區新興路40號,2015-08-24,營運中,2015,新北市,三重區,福民里,425020,346194,423029,390770,451,3224,68.0,71.0,25.05350205,121.491632,4.0,學校,133.4217280525628,2.0,36.0,22206.0,0,0,86.60992068590106,74.63265537479379,2,0,-78826,0.8145338700911249,10.008162833474259,0.05405405405405406,0.011162790697674419,799416.0,2.162944069662117,0,0,0,82.66666666666667,8876.76923076923,0.06414304077181936,27.555555555555557
498,統一超商股份有限公司,新北市第二O八分公司,新北市三重區溪尾街189號,2011-11-08,營運中,2011,新北市,三重區,慈祐里,425020,346194,423029,390770,485,5182,78.5,77.0,25.08060078,121.4886895,1.0,捷運站,498.4011100895209,10.0,35.0,21309.0,0,0,9.183899656837474,71.70479055601353,3,1,-78826,0.8145338700911249,9.966931725092662,0.2777777777777778,0.0067528458421763455,745815.0,2.14320363861213,0,0,0,112.65217391304348,7525.95652173913,0.061552015482603736,10.24110671936759
513,全家便利商店股份有限公司,三重興旺分公司,新北市三重區福和街26號,2012-06-13,廢止,2012,新北市,三重區,清和里,425020,346194,423029,390770,573,4201,50.5,54.0,25.06154902,121.5016851,2.0,捷運站,203.21033406250675,8.0,24.0,17818.0,0,0,45.30524302226615,30.07442659249297,2,1,-78826,0.8145338700911249,9.788020582727414,0.32,0.005711565920990005,427632.0,1.7181925924265056,0,0,0,127.3030303030303,10490.727272727272,0.0514681032366152,14.144781144781144
524,全家便利商店股份有限公司,三重龍門分公司,新北市三重區龍門路276號,2008-03-10,營運中,2008,新北市,三重區,龍濱里,425020,346194,423029,390770,460,3246,55.0,57.0,25.07414695,121.5017549,2.0,學校,340.97139930071995,3.0,14.0,19774.0,0,0,40.56921924319855,17.162970635673418,2,1,-78826,0.8145338700911249,9.892173792635855,0.2,0.004311672312904219,276836.0,1.4496924705273706,0,0,0,180.33333333333334,19233.0,0.05711809818166062,45.083333333333336
533,統一超商股份有限公司,台北縣第八八一分公司,新北市三重區龍濱路51號,2010-07-16,營運中,2010,新北市,三重區,長福里,425020,346194,423029,390770,449,1563,36.5,39.5,25.06880065,121.5027459,3.0,學校,297.80404260841954,12.0,19.0,18954.0,0,0,56.432965821201414,9.423391876676952,2,1,-78826,0.8145338700911249,9.849823027950436,0.6,0.012148337595907928,360126.0,1.1720262496761262,0,1,1,48.84375,10818.5625,0.05474949089386039,3.7572115384615383
536,全家便利商店股份有限公司,三重環北分公司,新北市三重區環河南路253號,2006-03-06,營運中,2006,新北市,三重區,成功里,425020,346194,423029,390770,677,8162,55.5,58.0,25.05066617,121.4911368,1.0,學校,448.3460975321372,5.0,23.0,28200.0,0,0,0.0,15.219990582420415,2,1,-78826,0.8145338700911249,10.247112717290387,0.20833333333333334,0.002817591571726081,648600.0,1.393122234035917,0,0,0,281.44827586206895,11937.724137931034,0.08145698233654443,46.90804597701149
